"app_name","max_price","min_rating","purchase_price","monthly_profit","marketing_cost","total_profit"
"asos","0.00","4.75","25000","5000",1000,"1109000.0000000000000000"
"cytus","1.99","4.75","25000","5000",1000,"1109000.0000000000000000"
"domino's pizza usa","0.00","4.75","25000","5000",1000,"1109000.0000000000000000"
"pewdiepie's tuber simulator","0.00","4.75","25000","5000",1000,"1109000.0000000000000000"
"the guardian","0.00","4.75","25000","5000",1000,"1109000.0000000000000000"
"egg, inc.","0.00","4.75","25000","5000",1000,"1109000.0000000000000000"
"the eo bar","6.99","4.75","69900.00","5000",1000,"1064100.0000000000000000"
"angry birds blast","0.00","4.50","25000","5000",1000,"1055000.0000000000000000"
"angry birds epic rpg","0.00","4.50","25000","5000",1000,"1055000.0000000000000000"
"army of heroes","0.00","4.50","25000","5000",1000,"1055000.0000000000000000"
